velocidad_bala,distancia,altura_bala,accion
-8.0,410.0,610.0,0
-8.0,402.0,610.0,0
-8.0,394.0,610.0,0
-8.0,386.0,610.0,0
-8.0,378.0,610.0,0
-8.0,370.0,610.0,0
-8.0,362.0,610.0,0
-8.0,354.0,610.0,0
-8.0,346.0,610.0,0
-8.0,338.0,610.0,0
-8.0,330.0,610.0,0
-8.0,322.0,610.0,0
-8.0,314.0,610.0,0
-8.0,306.0,610.0,0
-8.0,298.0,610.0,0
-8.0,290.0,610.0,0
-8.0,282.0,610.0,0
-8.0,274.0,610.0,0
-8.0,266.0,610.0,0
-8.0,258.0,610.0,0
-8.0,250.0,610.0,0
-8.0,242.0,610.0,0
-8.0,234.0,610.0,0
-8.0,226.0,610.0,0
-8.0,218.0,610.0,0
-8.0,210.0,610.0,0
-8.0,202.0,610.0,0
-8.0,194.0,610.0,0
-8.0,186.0,610.0,0
-8.0,178.0,610.0,0
-8.0,170.0,610.0,0
-8.0,162.0,610.0,0
-8.0,154.0,610.0,0
-8.0,146.0,610.0,0
-8.0,138.0,610.0,0
-8.0,130.0,610.0,0
-8.0,122.0,610.0,0
-8.0,114.0,610.0,0
-8.0,106.0,610.0,1
-8.0,98.0,610.0,1
-8.0,90.0,610.0,1
-8.0,82.0,610.0,1
-8.0,74.0,610.0,1
-8.0,66.0,610.0,1
-8.0,58.0,610.0,1
-8.0,50.0,610.0,1
-8.0,42.0,610.0,1
-8.0,34.0,610.0,1
-8.0,26.0,610.0,1
-8.0,18.0,610.0,1
-8.0,10.0,610.0,1
-8.0,2.0,610.0,1
-8.0,6.0,610.0,1
-8.0,14.0,610.0,1
-8.0,22.0,610.0,1
-8.0,30.0,610.0,1
-8.0,38.0,610.0,1
-8.0,46.0,610.0,1
-8.0,54.0,610.0,1
-8.0,62.0,610.0,1
-8.0,70.0,610.0,1
-11.0,959.0,610.0,1
-11.0,948.0,610.0,1
-11.0,937.0,610.0,1
-11.0,926.0,610.0,1
-11.0,915.0,610.0,1
-11.0,904.0,610.0,1
-11.0,893.0,610.0,1
-11.0,882.0,610.0,1
-11.0,871.0,610.0,0
-11.0,860.0,610.0,0
